Nom	adresse	Ville	Province	Code de pays	Code postal	Téléphone	Autre téléphone	Site web	Courriel	Latitude	Longitude
Bibliothèque L’Octogone	1080, avenue Dollard	Montréal	QC	CA	H8N 2T9	(514) 367-6376		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.424467	-73.622941
Bibliothèque Langelier	6473, rue Sherbrooke Est	Montréal	QC	CA	H1N 1C5	(514) 872-2640	(514) 872-4227	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.581445	-73.544042
Bibliothèque de Notre-Dame-de-Grâce	3755, rue Botrel	Montréal	QC	CA	H4A 3G8	(514) 872-2398	(514) 872-2377	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.47555	-73.614584
Bibliothèque d’Hochelaga	1870, rue Davidson	Montréal	QC	CA	H1W 2Y6	(514) 872-3666		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.54279	-73.545517
Bibliothèque interculturelle	6767, chemin de la Côte-des-Neiges	Montréal	QC	CA	H3S 2T6	(514) 868-4715	(514) 868-4716	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.503213	-73.637049
Bibliothèque de L’Île-Bizard	500, montée de l'Église	Montréal	QC	CA	H9C 1G9	(514) 620-6257		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.489477	-73.882546
Bibliothèque Maisonneuve	4120, rue Ontario Est	Montréal	QC	CA	H1V 1J9	(514) 872-4213	(514) 872-4214	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.550605	-73.540685
Bibliothèque Saul-Bellow	800, rue Sherbrooke	Montréal	QC	CA	H8S 1H2	(514) 634-3471 ext. 339	(514) 634-3471 ext. 338	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.444973	-73.670962
Bibliothèque de Saint-Pierre	183, rue des Érables	Montréal	QC	CA	H8R 1B1	(514) 634-3471 ext. 826		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.445771	-73.651088
Bibliothèque de Mercier	8105, rue Hochelaga	Montréal	QC	CA	H1L 2K9	(514) 872-8738	(514) 872-8739	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.595737	-73.523345
Bibliothèque du Plateau-Mont-Royal	465, avenue du Mont-Royal Est	Montréal	QC	CA	H2J 1W3	(514) 872-2270	(514) 872-2271	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.524998	-73.582548
Bibliothèque d’Ahuntsic	10300, rue Lajeunesse	Montréal	QC	CA	H2L 2E5	(514) 872-0568		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.516829	-73.557994
Bibliothèque de Pierrefonds	13555, boulevard Pierrefonds	Montréal	QC	CA	H9A 1A6	(514) 620-4181		http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.495191	-73.847171
Bibliothèque de Pointe-aux-Trembles	14001, rue Notre-Dame Est	Montréal	QC	CA	H1A 1T9	(514) 872-6987	(514) 872-9170	http://bibliomontreal.com	public_biblio@ville.montreal.qc.ca	45.668145	-73.494549
